date,status,bedtime_window_start,bedtime_window_end
2023-09-12,NOT_ENOUGH_DATA,,
2023-09-14,NOT_ENOUGH_DATA,,
2023-09-15,NOT_ENOUGH_DATA,,
2023-09-17,NOT_ENOUGH_DATA,,
2023-09-18,IDEAL_BEDTIME_AVAILABLE,900,4500
2023-09-19,IDEAL_BEDTIME_AVAILABLE,900,4500
2023-09-20,IDEAL_BEDTIME_AVAILABLE,900,4500
2023-09-21,IDEAL_BEDTIME_AVAILABLE,1800,5400
2023-09-22,IDEAL_BEDTIME_AVAILABLE,1800,5400
2023-09-24,IDEAL_BEDTIME_AVAILABLE,1800,5400
2023-09-25,IDEAL_BEDTIME_AVAILABLE,1800,5400
2023-09-26,IDEAL_BEDTIME_AVAILABLE,1800,5400
2023-09-27,IDEAL_BEDTIME_AVAILABLE,900,4500
2023-09-28,IDEAL_BEDTIME_AVAILABLE,1800,5400
2023-09-29,IDEAL_BEDTIME_AVAILABLE,900,4500
2023-10-01,IDEAL_BEDTIME_AVAILABLE,900,4500
2023-10-02,IDEAL_BEDTIME_AVAILABLE,900,4500
2023-10-03,IDEAL_BEDTIME_AVAILABLE,900,4500
2023-10-04,IDEAL_BEDTIME_AVAILABLE,900,4500
2023-10-05,IDEAL_BEDTIME_AVAILABLE,900,4500
2023-10-06,IDEAL_BEDTIME_AVAILABLE,0,3600
2023-10-08,IDEAL_BEDTIME_AVAILABLE,0,3600
2023-10-09,IDEAL_BEDTIME_AVAILABLE,0,3600
2023-10-10,IDEAL_BEDTIME_AVAILABLE,0,3600
2023-10-11,IDEAL_BEDTIME_AVAILABLE,0,3600
2023-10-12,IDEAL_BEDTIME_AVAILABLE,0,3600
2023-10-13,IDEAL_BEDTIME_AVAILABLE,0,3600
2023-10-15,IDEAL_BEDTIME_AVAILABLE,0,3600
2023-10-16,IDEAL_BEDTIME_AVAILABLE,0,3600
2023-10-17,IDEAL_BEDTIME_AVAILABLE,900,4500
2023-10-18,IDEAL_BEDTIME_AVAILABLE,900,4500
2023-10-19,IDEAL_BEDTIME_AVAILABLE,900,4500
2023-10-20,IDEAL_BEDTIME_AVAILABLE,1800,5400
2023-10-22,IDEAL_BEDTIME_AVAILABLE,1800,5400
2023-10-23,IDEAL_BEDTIME_AVAILABLE,1800,5400
2023-10-24,IDEAL_BEDTIME_AVAILABLE,1800,5400
2023-10-25,IDEAL_BEDTIME_AVAILABLE,1800,5400
2023-10-26,IDEAL_BEDTIME_AVAILABLE,2700,6300
2023-10-27,IDEAL_BEDTIME_AVAILABLE,2700,6300
2023-10-29,IDEAL_BEDTIME_AVAILABLE,3600,7200
2023-10-30,IDEAL_BEDTIME_AVAILABLE,3600,7200
2023-11-01,IDEAL_BEDTIME_AVAILABLE,3600,7200
2023-11-02,IDEAL_BEDTIME_AVAILABLE,3600,7200
2023-11-03,IDEAL_BEDTIME_AVAILABLE,3600,7200
2023-11-04,IDEAL_BEDTIME_AVAILABLE,3600,7200
2023-11-05,IDEAL_BEDTIME_AVAILABLE,3600,7200
2023-11-06,IDEAL_BEDTIME_AVAILABLE,3600,7200
2023-11-07,IDEAL_BEDTIME_AVAILABLE,3600,7200
2023-11-08,IDEAL_BEDTIME_AVAILABLE,3600,7200
2023-11-09,IDEAL_BEDTIME_AVAILABLE,3600,7200
2023-11-10,IDEAL_BEDTIME_AVAILABLE,3600,7200
2023-11-11,IDEAL_BEDTIME_AVAILABLE,3600,7200
2023-11-13,IDEAL_BEDTIME_AVAILABLE,3600,7200
2023-11-14,IDEAL_BEDTIME_AVAILABLE,3600,7200
2023-11-15,IDEAL_BEDTIME_AVAILABLE,3600,7200
2023-11-16,IDEAL_BEDTIME_AVAILABLE,4500,8100
2023-11-17,IDEAL_BEDTIME_AVAILABLE,4500,8100
2023-11-18,IDEAL_BEDTIME_AVAILABLE,4500,8100
2023-11-19,LOW_SLEEP_SCORES,,
2023-11-20,LOW_SLEEP_SCORES,,
2023-11-21,LOW_SLEEP_SCORES,,
2023-11-22,LOW_SLEEP_SCORES,,
2023-11-23,LOW_SLEEP_SCORES,,
2023-11-24,LOW_SLEEP_SCORES,,
2023-11-25,LOW_SLEEP_SCORES,,
2023-11-26,LOW_SLEEP_SCORES,,
2023-11-27,LOW_SLEEP_SCORES,,
2023-11-28,LOW_SLEEP_SCORES,,
2023-11-29,LOW_SLEEP_SCORES,,
2023-11-30,LOW_SLEEP_SCORES,,
