score,day,temperature_deviation,temperature_trend_deviation,contributors_activity_balance,contributors_hrv_balance,contributors_previous_day_activity,contributors_previous_night,contributors_recovery_index,contributors_resting_heart_rate,contributors_sleep_balance,contributors_body_temperature
75,2023-09-13,-0.26,-49096.12,,,,53,87,89,,94
70,2023-09-14,-0.11,-171.8,,,,58,61,88,,94
66,2023-09-15,-0.01,-0.04,79,,99,55,78,81,22,100
75,2023-09-16,-0.29,-0.23,,,,60,77,88,,89
82,2023-09-17,-0.14,14.35,,,,59,96,88,,91
81,2023-09-18,0.02,0.0,,,,61,91,88,,94
76,2023-09-19,0.14,-0.03,,,,50,77,91,,97
82,2023-09-20,-0.2,-0.04,,,,60,93,89,,90
80,2023-09-21,-0.36,-0.01,,,,59,85,88,,86
77,2023-09-22,0.19,0.12,,,,54,81,88,,97
81,2023-09-23,-0.13,-0.16,,,,58,90,91,,91
77,2023-09-24,-0.22,13.17,,,,55,73,92,,88
80,2023-09-25,-0.04,14.34,,,,56,81,97,,91
83,2023-09-26,-0.3,-0.18,80,81,84,76,100,100,61,95
81,2023-09-27,0.18,0.07,82,88,82,67,82,100,58,90
85,2023-09-28,-0.16,-0.08,86,86,85,81,99,94,63,100
76,2023-09-29,-0.06,0.0,85,87,77,64,71,85,57,100
83,2023-09-30,-0.26,-0.03,86,89,85,68,93,100,61,96
82,2023-10-01,-0.27,-0.13,82,81,76,80,100,94,60,96
77,2023-10-02,-0.18,14.14,88,90,67,74,91,69,58,99
74,2023-10-03,0.1,-0.06,84,84,84,63,56,78,58,97
73,2023-10-04,0.15,-0.03,80,87,64,63,74,70,59,93
83,2023-10-05,-0.32,-0.11,87,87,85,77,100,88,60,94
78,2023-10-06,0.12,0.11,82,86,81,67,65,100,56,95
84,2023-10-07,-0.08,0.0,85,88,81,72,100,100,60,100
84,2023-10-08,0.08,0.05,87,87,85,81,98,94,60,98
78,2023-10-09,-0.06,0.04,87,88,80,64,83,85,58,100
83,2023-10-10,0.03,0.03,91,87,87,73,90,94,62,100
81,2023-10-11,0.21,0.19,91,87,81,72,89,85,61,88
79,2023-10-12,0.12,0.08,96,82,84,77,72,77,62,96
83,2023-10-13,0.18,0.15,94,86,82,72,92,94,61,90
77,2023-10-14,0.12,0.21,99,79,84,64,80,77,59,96
79,2023-10-15,0.06,0.15,96,73,82,72,92,77,62,100
69,2023-10-16,0.15,0.2,99,72,63,62,82,44,58,93
76,2023-10-17,-0.05,0.07,97,67,79,69,91,70,59,100
80,2023-10-18,0.01,0.09,97,71,81,67,90,96,58,100
80,2023-10-19,0.08,0.1,97,63,82,70,93,100,58,99
78,2023-10-20,-0.14,-0.03,96,64,80,66,85,95,56,100
75,2023-10-21,0.02,0.06,93,65,76,70,89,70,58,100
73,2023-10-22,0.01,0.0,94,72,51,56,77,96,55,100
78,2023-10-23,-0.17,-0.05,95,66,80,75,91,79,58,99
75,2023-10-24,0.07,0.09,92,78,80,64,83,71,54,100
33,2023-10-25,1.01,0.43,91,52,78,71,1,1,56,21
76,2023-10-26,0.05,0.07,94,79,78,64,86,73,55,100
63,2023-10-27,0.03,0.27,94,50,79,56,71,40,51,100
74,2023-10-28,0.09,0.47,97,62,79,69,87,66,56,98
66,2023-10-30,0.07,0.11,94,49,70,68,82,42,51,99
76,2023-10-31,-0.09,0.03,93,57,80,79,96,76,54,100
73,2023-11-01,0.07,0.11,94,55,82,66,83,76,51,99
73,2023-11-02,0.03,0.05,92,53,77,70,86,76,54,100
75,2023-11-03,-0.09,-0.02,95,59,80,70,69,93,54,100
76,2023-11-04,0.09,0.09,92,62,80,69,84,84,55,98
68,2023-11-05,-0.04,0.0,86,61,70,66,43,76,55,100
74,2023-11-06,0.0,0.01,93,71,40,73,89,84,56,100
79,2023-11-07,-0.14,0.0,88,72,77,65,93,100,56,100
78,2023-11-08,0.02,0.01,88,79,84,70,73,93,55,100
76,2023-11-09,-0.14,-0.05,84,78,75,66,88,76,56,100
76,2023-11-10,0.03,-0.01,91,83,82,65,49,93,57,100
78,2023-11-11,0.04,0.01,88,80,80,65,90,84,55,100
74,2023-11-12,0.08,0.0,80,85,64,63,84,76,56,99
81,2023-11-13,0.2,0.12,89,80,78,68,98,93,57,89
79,2023-11-14,0.07,0.08,84,82,79,59,87,100,55,99
72,2023-11-15,0.1,0.14,83,76,79,59,70,76,54,97
78,2023-11-16,0.01,0.12,84,80,77,61,87,93,55,100
76,2023-11-17,0.14,0.13,84,75,78,63,62,100,53,94
75,2023-11-18,-0.03,0.05,84,70,74,68,82,84,52,100
67,2023-11-19,-0.15,0.0,79,77,12,60,52,100,52,100
71,2023-11-20,-0.16,0.01,85,79,66,39,59,100,52,100
80,2023-11-21,0.28,0.09,82,69,86,73,95,100,54,82
74,2023-11-22,0.1,-0.02,81,78,84,63,45,97,53,97
80,2023-11-23,0.1,0.06,83,76,82,65,93,100,54,97
76,2023-11-24,0.04,0.17,86,78,76,55,84,96,52,100
77,2023-11-25,0.06,0.11,85,80,76,60,90,88,54,100
79,2023-11-26,0.18,0.14,85,86,68,71,94,88,54,90
79,2023-11-27,0.01,0.06,88,85,67,65,94,96,53,100
81,2023-11-28,0.06,0.11,85,90,85,68,92,88,54,100
78,2023-11-29,-0.29,0.0,85,90,84,60,76,96,51,95
81,2023-11-30,0.27,0.15,83,91,76,76,96,88,56,83
80,2023-12-01,-0.03,-0.01,87,90,76,63,90,96,52,100
78,2023-12-02,0.27,0.07,88,92,78,68,91,79,53,83
