score,day,contributors_timing,contributors_deep_sleep,contributors_restfulness,contributors_efficiency,contributors_latency,contributors_rem_sleep,contributors_total_sleep
64,2023-09-13,40,61,75,95,91,55,53
68,2023-09-14,57,77,76,98,70,65,56
58,2023-09-15,42,55,81,97,70,54,41
70,2023-09-16,66,86,86,96,94,64,47
69,2023-09-17,71,46,76,97,67,75,64
71,2023-09-18,48,95,77,99,70,65,63
62,2023-09-19,53,41,79,98,67,58,53
70,2023-09-20,50,56,90,100,67,69,65
69,2023-09-21,45,63,81,100,67,84,61
65,2023-09-22,39,74,84,99,67,43,56
68,2023-09-23,40,58,93,100,70,57,61
66,2023-09-24,33,75,57,97,75,88,59
67,2023-09-25,71,50,79,95,97,52,53
73,2023-09-26,60,58,83,98,70,96,64
66,2023-09-27,57,54,96,97,70,57,50
77,2023-09-28,67,82,91,100,67,92,65
64,2023-09-29,22,89,91,96,75,63,45
67,2023-09-30,59,73,77,96,67,57,58
76,2023-10-01,78,62,68,95,81,96,69
72,2023-10-02,59,72,81,97,97,67,60
63,2023-10-03,70,64,78,90,75,52,47
63,2023-10-04,66,56,78,99,72,52,49
74,2023-10-05,75,70,71,98,75,83,67
66,2023-10-06,58,57,84,96,75,51,56
70,2023-10-07,58,53,74,90,86,84,62
77,2023-10-08,60,79,90,98,64,97,67
64,2023-10-09,45,61,75,98,72,60,54
71,2023-10-10,56,75,81,95,89,73,57
70,2023-10-11,51,71,81,98,70,85,57
74,2023-10-12,65,82,78,98,67,87,64
70,2023-10-13,49,81,78,100,75,71,60
64,2023-10-14,76,62,57,95,94,56,48
70,2023-10-15,60,73,89,96,70,61,59
62,2023-10-16,44,45,79,99,67,67,52
67,2023-10-17,46,71,80,96,67,73,56
66,2023-10-18,47,69,73,98,67,70,57
68,2023-10-19,46,64,80,98,75,65,61
65,2023-10-20,41,74,84,96,78,49,52
68,2023-10-21,30,79,76,97,91,69,56
57,2023-10-22,21,42,81,98,70,55,47
72,2023-10-23,45,90,93,99,67,68,59
63,2023-10-24,39,78,73,97,70,60,51
69,2023-10-25,45,95,72,96,78,65,58
63,2023-10-26,26,69,80,98,70,50,55
57,2023-10-27,38,56,95,79,70,62,35
67,2023-10-28,24,71,85,99,70,79,57
66,2023-10-30,41,90,83,96,72,56,50
75,2023-10-31,43,80,86,96,97,93,61
65,2023-11-01,38,58,76,96,78,75,54
68,2023-11-02,39,72,80,99,75,77,57
68,2023-11-03,38,88,97,96,67,56,54
67,2023-11-04,24,96,88,98,72,52,55
65,2023-11-05,45,74,73,95,70,59,57
70,2023-11-06,38,66,89,97,94,68,57
64,2023-11-07,20,66,76,93,81,73,55
68,2023-11-08,38,77,88,93,86,74,51
65,2023-11-09,35,82,84,90,78,58,53
64,2023-11-10,34,36,74,97,72,83,60
64,2023-11-11,23,55,76,96,78,78,55
62,2023-11-12,24,57,84,99,67,57,53
66,2023-11-13,31,53,85,98,67,65,62
59,2023-11-14,27,53,73,90,67,65,52
59,2023-11-15,31,63,90,96,67,57,39
61,2023-11-16,28,62,79,93,75,58,51
62,2023-11-17,27,50,72,96,72,75,55
66,2023-11-18,21,72,76,98,94,65,57
60,2023-11-19,23,67,69,95,72,51,54
43,2023-11-20,21,36,52,51,1,64,50
70,2023-11-21,29,90,70,96,99,76,58
62,2023-11-22,22,69,84,97,67,48,54
64,2023-11-23,23,63,76,98,91,59,56
56,2023-11-24,19,54,78,96,67,42,47
60,2023-11-25,21,48,79,95,72,62,52
69,2023-11-26,22,94,89,97,67,76,57
64,2023-11-27,22,65,88,90,78,71,53
66,2023-11-28,21,95,80,98,70,51,58
60,2023-11-29,38,95,73,86,78,54,40
73,2023-11-30,44,95,85,96,99,64,59
62,2023-12-01,20,70,75,95,75,57,54
66,2023-12-02,9,95,80,93,83,63,56
